
Host: UIO-5CG2126K37

Timers On : Fri Nov 22 13:31:19 2024
Timers Off: Fri Nov 22 13:32:55 2024

Wall Time:       96.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form S/X                        :      0.000u      0.000s      0.036w    118 calls
HF: Guess                           :      5.633u      1.450s     11.114w    118 calls
SAD Guess                           :      5.450u      1.450s     10.934w    118 calls
HF: Form G                          :     36.950u      0.233s     22.443w   1798 calls
JK: D                               :      0.000u      0.017s      0.015w   1798 calls
JK: USO2AO                          :      0.000u      0.000s      0.006w   1798 calls
JK: JK                              :     36.867u      0.150s     22.355w   1798 calls
DFH: compute_JK()                   :      1.450u      0.067s      0.867w   1163 calls
DFH: Grabbing AOs                   :      0.000u      0.033s      0.002w   1163 calls
DFH: compute_J                      :      0.283u      0.000s      0.149w   1163 calls
DFH: compute_K                      :      1.133u      0.000s      0.647w   1163 calls
build_JK_matrices()                 :     33.067u      0.000s     20.126w    635 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.017u      0.000s      0.016w   1798 calls
HF: Form D                          :      0.033u      0.000s      0.010w   1798 calls
HF: DIIS                            :      5.333u      0.000s      3.077w   1680 calls
HF: Form C                          :      0.850u      0.000s      0.449w   1680 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.483u      0.000s      0.263w    118 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.000s      0.123w    118 calls
DFH: initialize()                   :      7.883u      1.050s      7.528w    118 calls
| Libint2ERI::Libint2ERI            :      0.367u      0.000s      0.158w    236 calls
| DFH: AO Construction              :      2.583u      0.000s      1.577w    118 calls
| DFH: AO-Met. Contraction          :      0.433u      0.050s      0.287w    118 calls
HF: Form core H                     :      0.150u      0.483s      0.778w    118 calls
HF: Form S/X                        :      0.000u      0.000s      0.036w    118 calls
HF: Guess                           :      5.633u      1.450s     11.114w    118 calls
| SAD Guess                         :      5.450u      1.450s     10.934w    118 calls
HF: Form G                          :     36.950u      0.233s     22.443w   1798 calls
| JK: D                             :      0.000u      0.017s      0.015w   1798 calls
| JK: USO2AO                        :      0.000u      0.000s      0.006w   1798 calls
| JK: JK                            :     36.867u      0.150s     22.355w   1798 calls
| | DFH: compute_JK()               :      1.450u      0.067s      0.867w   1163 calls
| | | DFH: Grabbing AOs             :      0.000u      0.033s      0.002w   1163 calls
| | | DFH: compute_J                :      0.283u      0.000s      0.149w   1163 calls
| | | DFH: compute_K                :      1.133u      0.000s      0.647w   1163 calls
| | Libint2ERI::Libint2ERI          :      1.050u      0.033s      0.689w    635 calls
| | build_JK_matrices()             :     33.067u      0.000s     20.126w    635 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.017u      0.000s      0.016w   1798 calls
HF: Form D                          :      0.033u      0.000s      0.010w   1798 calls
HF: DIIS                            :      5.333u      0.000s      3.077w   1680 calls
HF: Form C                          :      0.850u      0.000s      0.449w   1680 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Tue Nov 26 15:32:31 2024
Timers Off: Tue Nov 26 15:33:52 2024

Wall Time:       80.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.300u      0.000s      0.256w    118 calls
Libint2ERI::Libint2ERI              :      1.483u      0.000s      0.900w    989 calls
DFH: initialize()                   :      7.000u      0.783s      7.319w    118 calls
DFH: AO Construction                :      2.367u      0.000s      1.362w    118 calls
DFH: AO-Met. Contraction            :      0.417u      0.033s      0.277w    118 calls
HF: Form core H                     :      0.183u      0.250s      0.822w    118 calls
HF: Form S/X                        :      0.083u      0.000s      0.030w    118 calls
HF: Guess                           :      4.850u      1.417s     11.245w    118 calls
SAD Guess                           :      4.567u      1.417s     11.107w    118 calls
HF: Form G                          :     35.183u      0.083s     21.614w   1798 calls
JK: D                               :      0.000u      0.000s      0.014w   1798 calls
JK: USO2AO                          :      0.000u      0.000s      0.005w   1798 calls
JK: JK                              :     35.133u      0.067s     21.528w   1798 calls
DFH: compute_JK()                   :      1.333u      0.033s      0.833w   1163 calls
DFH: Grabbing AOs                   :      0.000u      0.017s      0.002w   1163 calls
DFH: compute_J                      :      0.150u      0.000s      0.156w   1163 calls
DFH: compute_K                      :      0.850u      0.000s      0.607w   1163 calls
build_JK_matrices()                 :     31.800u      0.033s     19.428w    635 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.067u      0.000s      0.016w   1798 calls
HF: Form D                          :      0.000u      0.000s      0.010w   1798 calls
HF: DIIS                            :      5.333u      0.000s      3.130w   1680 calls
HF: Form C                          :      0.733u      0.000s      0.446w   1680 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.300u      0.000s      0.256w    118 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.123w    118 calls
DFH: initialize()                   :      7.000u      0.783s      7.319w    118 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.000s      0.144w    236 calls
| DFH: AO Construction              :      2.367u      0.000s      1.362w    118 calls
| DFH: AO-Met. Contraction          :      0.417u      0.033s      0.277w    118 calls
HF: Form core H                     :      0.183u      0.250s      0.822w    118 calls
HF: Form S/X                        :      0.083u      0.000s      0.030w    118 calls
HF: Guess                           :      4.850u      1.417s     11.245w    118 calls
| SAD Guess                         :      4.567u      1.417s     11.107w    118 calls
HF: Form G                          :     35.183u      0.083s     21.614w   1798 calls
| JK: D                             :      0.000u      0.000s      0.014w   1798 calls
| JK: USO2AO                        :      0.000u      0.000s      0.005w   1798 calls
| JK: JK                            :     35.133u      0.067s     21.528w   1798 calls
| | DFH: compute_JK()               :      1.333u      0.033s      0.833w   1163 calls
| | | DFH: Grabbing AOs             :      0.000u      0.017s      0.002w   1163 calls
| | | DFH: compute_J                :      0.150u      0.000s      0.156w   1163 calls
| | | DFH: compute_K                :      0.850u      0.000s      0.607w   1163 calls
| | Libint2ERI::Libint2ERI          :      1.167u      0.000s      0.634w    635 calls
| | build_JK_matrices()             :     31.800u      0.033s     19.428w    635 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.067u      0.000s      0.016w   1798 calls
HF: Form D                          :      0.000u      0.000s      0.010w   1798 calls
HF: DIIS                            :      5.333u      0.000s      3.130w   1680 calls
HF: Form C                          :      0.733u      0.000s      0.446w   1680 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Tue Nov 26 15:36:29 2024
Timers Off: Tue Nov 26 15:38:02 2024

Wall Time:       93.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.583u      0.000s      0.249w    118 calls
Libint2ERI::Libint2ERI              :      1.817u      0.000s      0.950w    989 calls
DFH: initialize()                   :      7.300u      0.817s      7.383w    118 calls
DFH: AO Construction                :      2.533u      0.000s      1.502w    118 calls
DFH: AO-Met. Contraction            :      0.500u      0.000s      0.298w    118 calls
HF: Form core H                     :      0.233u      0.200s      0.819w    118 calls
HF: Form S/X                        :      0.000u      0.000s      0.034w    118 calls
HF: Guess                           :      6.450u      1.283s     11.430w    118 calls
SAD Guess                           :      6.133u      1.283s     11.262w    118 calls
HF: Form G                          :     36.817u      0.117s     22.402w   1798 calls
JK: D                               :      0.000u      0.033s      0.014w   1798 calls
JK: USO2AO                          :      0.000u      0.000s      0.006w   1798 calls
JK: JK                              :     36.783u      0.083s     22.315w   1798 calls
DFH: compute_JK()                   :      1.233u      0.050s      0.861w   1163 calls
DFH: Grabbing AOs                   :      0.000u      0.017s      0.002w   1163 calls
DFH: compute_J                      :      0.283u      0.000s      0.149w   1163 calls
DFH: compute_K                      :      0.950u      0.000s      0.639w   1163 calls
build_JK_matrices()                 :     33.300u      0.000s     20.091w    635 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.000u      0.000s      0.015w   1798 calls
HF: Form D                          :      0.033u      0.000s      0.010w   1798 calls
HF: DIIS                            :      4.817u      0.033s      3.062w   1680 calls
HF: Form C                          :      0.967u      0.000s      0.446w   1680 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.583u      0.000s      0.249w    118 calls
| Libint2ERI::Libint2ERI            :      0.350u      0.000s      0.118w    118 calls
DFH: initialize()                   :      7.300u      0.817s      7.383w    118 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.000s      0.148w    236 calls
| DFH: AO Construction              :      2.533u      0.000s      1.502w    118 calls
| DFH: AO-Met. Contraction          :      0.500u      0.000s      0.298w    118 calls
HF: Form core H                     :      0.233u      0.200s      0.819w    118 calls
HF: Form S/X                        :      0.000u      0.000s      0.034w    118 calls
HF: Guess                           :      6.450u      1.283s     11.430w    118 calls
| SAD Guess                         :      6.133u      1.283s     11.262w    118 calls
HF: Form G                          :     36.817u      0.117s     22.402w   1798 calls
| JK: D                             :      0.000u      0.033s      0.014w   1798 calls
| JK: USO2AO                        :      0.000u      0.000s      0.006w   1798 calls
| JK: JK                            :     36.783u      0.083s     22.315w   1798 calls
| | DFH: compute_JK()               :      1.233u      0.050s      0.861w   1163 calls
| | | DFH: Grabbing AOs             :      0.000u      0.017s      0.002w   1163 calls
| | | DFH: compute_J                :      0.283u      0.000s      0.149w   1163 calls
| | | DFH: compute_K                :      0.950u      0.000s      0.639w   1163 calls
| | Libint2ERI::Libint2ERI          :      1.250u      0.000s      0.684w    635 calls
| | build_JK_matrices()             :     33.300u      0.000s     20.091w    635 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.000u      0.000s      0.015w   1798 calls
HF: Form D                          :      0.033u      0.000s      0.010w   1798 calls
HF: DIIS                            :      4.817u      0.033s      3.062w   1680 calls
HF: Form C                          :      0.967u      0.000s      0.446w   1680 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Tue Nov 26 15:47:06 2024
Timers Off: Tue Nov 26 15:48:28 2024

Wall Time:       82.39 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.467u      0.000s      0.259w    118 calls
Libint2ERI::Libint2ERI              :      1.583u      0.000s      0.950w    989 calls
DFH: initialize()                   :      7.650u      0.867s      7.566w    118 calls
DFH: AO Construction                :      2.417u      0.000s      1.499w    118 calls
DFH: AO-Met. Contraction            :      0.517u      0.033s      0.295w    118 calls
HF: Form core H                     :      0.117u      0.267s      0.737w    118 calls
HF: Form S/X                        :      0.067u      0.000s      0.031w    118 calls
HF: Guess                           :      5.267u      1.350s     11.041w    118 calls
SAD Guess                           :      5.117u      1.350s     10.900w    118 calls
HF: Form G                          :     37.633u      0.150s     22.725w   1798 calls
JK: D                               :      0.033u      0.017s      0.015w   1798 calls
JK: USO2AO                          :      0.000u      0.000s      0.006w   1798 calls
JK: JK                              :     37.517u      0.133s     22.634w   1798 calls
DFH: compute_JK()                   :      1.417u      0.100s      0.882w   1163 calls
DFH: Grabbing AOs                   :      0.000u      0.033s      0.002w   1163 calls
DFH: compute_J                      :      0.217u      0.000s      0.161w   1163 calls
DFH: compute_K                      :      1.083u      0.000s      0.645w   1163 calls
build_JK_matrices()                 :     33.683u      0.000s     20.405w    635 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.000u      0.000s      0.017w   1798 calls
HF: Form D                          :      0.000u      0.000s      0.011w   1798 calls
HF: DIIS                            :      5.033u      0.000s      3.212w   1680 calls
HF: Form C                          :      0.717u      0.000s      0.459w   1680 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.467u      0.000s      0.259w    118 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.123w    118 calls
DFH: initialize()                   :      7.650u      0.867s      7.566w    118 calls
| Libint2ERI::Libint2ERI            :      0.200u      0.000s      0.149w    236 calls
| DFH: AO Construction              :      2.417u      0.000s      1.499w    118 calls
| DFH: AO-Met. Contraction          :      0.517u      0.033s      0.295w    118 calls
HF: Form core H                     :      0.117u      0.267s      0.737w    118 calls
HF: Form S/X                        :      0.067u      0.000s      0.031w    118 calls
HF: Guess                           :      5.267u      1.350s     11.041w    118 calls
| SAD Guess                         :      5.117u      1.350s     10.900w    118 calls
HF: Form G                          :     37.633u      0.150s     22.725w   1798 calls
| JK: D                             :      0.033u      0.017s      0.015w   1798 calls
| JK: USO2AO                        :      0.000u      0.000s      0.006w   1798 calls
| JK: JK                            :     37.517u      0.133s     22.634w   1798 calls
| | DFH: compute_JK()               :      1.417u      0.100s      0.882w   1163 calls
| | | DFH: Grabbing AOs             :      0.000u      0.033s      0.002w   1163 calls
| | | DFH: compute_J                :      0.217u      0.000s      0.161w   1163 calls
| | | DFH: compute_K                :      1.083u      0.000s      0.645w   1163 calls
| | Libint2ERI::Libint2ERI          :      1.217u      0.000s      0.678w    635 calls
| | build_JK_matrices()             :     33.683u      0.000s     20.405w    635 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.000u      0.000s      0.017w   1798 calls
HF: Form D                          :      0.000u      0.000s      0.011w   1798 calls
HF: DIIS                            :      5.033u      0.000s      3.212w   1680 calls
HF: Form C                          :      0.717u      0.000s      0.459w   1680 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Tue Nov 26 15:52:12 2024
Timers Off: Tue Nov 26 15:53:35 2024

Wall Time:       82.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.417u      0.000s      0.261w    118 calls
Libint2ERI::Libint2ERI              :      2.200u      0.000s      0.954w    989 calls
DFH: initialize()                   :      7.600u      0.850s      7.517w    118 calls
DFH: AO Construction                :      2.567u      0.017s      1.488w    118 calls
DFH: AO-Met. Contraction            :      0.450u      0.000s      0.273w    118 calls
HF: Form core H                     :      0.183u      0.400s      0.847w    118 calls
HF: Form S/X                        :      0.067u      0.033s      0.033w    118 calls
HF: Guess                           :      6.417u      1.450s     11.247w    118 calls
SAD Guess                           :      6.183u      1.450s     11.083w    118 calls
HF: Form G                          :     37.700u      0.100s     22.766w   1798 calls
JK: D                               :      0.033u      0.000s      0.015w   1798 calls
JK: USO2AO                          :      0.000u      0.033s      0.006w   1798 calls
JK: JK                              :     37.617u      0.067s     22.679w   1798 calls
DFH: compute_JK()                   :      1.533u      0.067s      0.869w   1163 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w   1163 calls
DFH: compute_J                      :      0.350u      0.000s      0.151w   1163 calls
DFH: compute_K                      :      1.117u      0.000s      0.648w   1163 calls
build_JK_matrices()                 :     33.767u      0.000s     20.455w    635 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.033u      0.000s      0.015w   1798 calls
HF: Form D                          :      0.033u      0.000s      0.010w   1798 calls
HF: DIIS                            :      5.033u      0.000s      3.030w   1680 calls
HF: Form C                          :      0.683u      0.000s      0.445w   1680 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.417u      0.000s      0.261w    118 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.000s      0.125w    118 calls
DFH: initialize()                   :      7.600u      0.850s      7.517w    118 calls
| Libint2ERI::Libint2ERI            :      0.383u      0.000s      0.144w    236 calls
| DFH: AO Construction              :      2.567u      0.017s      1.488w    118 calls
| DFH: AO-Met. Contraction          :      0.450u      0.000s      0.273w    118 calls
HF: Form core H                     :      0.183u      0.400s      0.847w    118 calls
HF: Form S/X                        :      0.067u      0.033s      0.033w    118 calls
HF: Guess                           :      6.417u      1.450s     11.247w    118 calls
| SAD Guess                         :      6.183u      1.450s     11.083w    118 calls
HF: Form G                          :     37.700u      0.100s     22.766w   1798 calls
| JK: D                             :      0.033u      0.000s      0.015w   1798 calls
| JK: USO2AO                        :      0.000u      0.033s      0.006w   1798 calls
| JK: JK                            :     37.617u      0.067s     22.679w   1798 calls
| | DFH: compute_JK()               :      1.533u      0.067s      0.869w   1163 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w   1163 calls
| | | DFH: compute_J                :      0.350u      0.000s      0.151w   1163 calls
| | | DFH: compute_K                :      1.117u      0.000s      0.648w   1163 calls
| | Libint2ERI::Libint2ERI          :      1.500u      0.000s      0.684w    635 calls
| | build_JK_matrices()             :     33.767u      0.000s     20.455w    635 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.033u      0.000s      0.015w   1798 calls
HF: Form D                          :      0.033u      0.000s      0.010w   1798 calls
HF: DIIS                            :      5.033u      0.000s      3.030w   1680 calls
HF: Form C                          :      0.683u      0.000s      0.445w   1680 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Tue Nov 26 15:55:57 2024
Timers Off: Tue Nov 26 15:57:17 2024

Wall Time:       80.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.483u      0.000s      0.252w    118 calls
Libint2ERI::Libint2ERI              :      1.317u      0.033s      0.912w    989 calls
DFH: initialize()                   :      6.600u      1.033s      7.511w    118 calls
DFH: AO Construction                :      2.400u      0.000s      1.470w    118 calls
DFH: AO-Met. Contraction            :      0.417u      0.033s      0.282w    118 calls
HF: Form core H                     :      0.250u      0.267s      0.800w    118 calls
HF: Form S/X                        :      0.033u      0.000s      0.033w    118 calls
HF: Guess                           :      5.050u      1.283s     10.954w    118 calls
SAD Guess                           :      4.833u      1.283s     10.797w    118 calls
HF: Form G                          :     37.450u      0.050s     22.269w   1798 calls
JK: D                               :      0.050u      0.000s      0.013w   1798 calls
JK: USO2AO                          :      0.000u      0.000s      0.005w   1798 calls
JK: JK                              :     37.267u      0.017s     22.186w   1798 calls
DFH: compute_JK()                   :      1.317u      0.017s      0.827w   1163 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w   1163 calls
DFH: compute_J                      :      0.333u      0.000s      0.146w   1163 calls
DFH: compute_K                      :      0.750u      0.000s      0.615w   1163 calls
build_JK_matrices()                 :     33.567u      0.000s     20.089w    635 calls
JK: AO2USO                          :      0.033u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.050u      0.000s      0.014w   1798 calls
HF: Form D                          :      0.033u      0.000s      0.010w   1798 calls
HF: DIIS                            :      4.400u      0.000s      2.933w   1680 calls
HF: Form C                          :      0.883u      0.000s      0.426w   1680 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.483u      0.000s      0.252w    118 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.000s      0.118w    118 calls
DFH: initialize()                   :      6.600u      1.033s      7.511w    118 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.033s      0.150w    236 calls
| DFH: AO Construction              :      2.400u      0.000s      1.470w    118 calls
| DFH: AO-Met. Contraction          :      0.417u      0.033s      0.282w    118 calls
HF: Form core H                     :      0.250u      0.267s      0.800w    118 calls
HF: Form S/X                        :      0.033u      0.000s      0.033w    118 calls
HF: Guess                           :      5.050u      1.283s     10.954w    118 calls
| SAD Guess                         :      4.833u      1.283s     10.797w    118 calls
HF: Form G                          :     37.450u      0.050s     22.269w   1798 calls
| JK: D                             :      0.050u      0.000s      0.013w   1798 calls
| JK: USO2AO                        :      0.000u      0.000s      0.005w   1798 calls
| JK: JK                            :     37.267u      0.017s     22.186w   1798 calls
| | DFH: compute_JK()               :      1.317u      0.017s      0.827w   1163 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w   1163 calls
| | | DFH: compute_J                :      0.333u      0.000s      0.146w   1163 calls
| | | DFH: compute_K                :      0.750u      0.000s      0.615w   1163 calls
| | Libint2ERI::Libint2ERI          :      1.067u      0.000s      0.645w    635 calls
| | build_JK_matrices()             :     33.567u      0.000s     20.089w    635 calls
| JK: AO2USO                        :      0.033u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.050u      0.000s      0.014w   1798 calls
HF: Form D                          :      0.033u      0.000s      0.010w   1798 calls
HF: DIIS                            :      4.400u      0.000s      2.933w   1680 calls
HF: Form C                          :      0.883u      0.000s      0.426w   1680 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Tue Nov 26 15:59:42 2024
Timers Off: Tue Nov 26 16:01:02 2024

Wall Time:       79.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.683u      0.000s      0.264w    118 calls
Libint2ERI::Libint2ERI              :      1.783u      0.000s      0.925w    989 calls
DFH: initialize()                   :      6.633u      0.583s      7.502w    118 calls
DFH: AO Construction                :      2.183u      0.000s      1.461w    118 calls
DFH: AO-Met. Contraction            :      0.350u      0.000s      0.268w    118 calls
HF: Form core H                     :      0.267u      0.383s      0.762w    118 calls
HF: Form S/X                        :      0.033u      0.000s      0.031w    118 calls
HF: Guess                           :      4.833u      1.433s     10.365w    118 calls
SAD Guess                           :      4.633u      1.400s     10.232w    118 calls
HF: Form G                          :     36.767u      0.117s     21.986w   1798 calls
JK: D                               :      0.017u      0.000s      0.014w   1798 calls
JK: USO2AO                          :      0.017u      0.000s      0.005w   1798 calls
JK: JK                              :     36.650u      0.050s     21.898w   1798 calls
DFH: compute_JK()                   :      1.600u      0.033s      0.858w   1163 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w   1163 calls
DFH: compute_J                      :      0.300u      0.000s      0.157w   1163 calls
DFH: compute_K                      :      1.217u      0.000s      0.631w   1163 calls
build_JK_matrices()                 :     32.783u      0.017s     19.753w    635 calls
JK: AO2USO                          :      0.000u      0.033s      0.003w   1798 calls
HF: Form F                          :      0.000u      0.000s      0.016w   1798 calls
HF: Form D                          :      0.000u      0.000s      0.010w   1798 calls
HF: DIIS                            :      4.667u      0.017s      3.077w   1680 calls
HF: Form C                          :      0.717u      0.000s      0.445w   1680 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.683u      0.000s      0.264w    118 calls
| Libint2ERI::Libint2ERI            :      0.250u      0.000s      0.124w    118 calls
DFH: initialize()                   :      6.633u      0.583s      7.502w    118 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.000s      0.147w    236 calls
| DFH: AO Construction              :      2.183u      0.000s      1.461w    118 calls
| DFH: AO-Met. Contraction          :      0.350u      0.000s      0.268w    118 calls
HF: Form core H                     :      0.267u      0.383s      0.762w    118 calls
HF: Form S/X                        :      0.033u      0.000s      0.031w    118 calls
HF: Guess                           :      4.833u      1.433s     10.365w    118 calls
| SAD Guess                         :      4.633u      1.400s     10.232w    118 calls
HF: Form G                          :     36.767u      0.117s     21.986w   1798 calls
| JK: D                             :      0.017u      0.000s      0.014w   1798 calls
| JK: USO2AO                        :      0.017u      0.000s      0.005w   1798 calls
| JK: JK                            :     36.650u      0.050s     21.898w   1798 calls
| | DFH: compute_JK()               :      1.600u      0.033s      0.858w   1163 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w   1163 calls
| | | DFH: compute_J                :      0.300u      0.000s      0.157w   1163 calls
| | | DFH: compute_K                :      1.217u      0.000s      0.631w   1163 calls
| | Libint2ERI::Libint2ERI          :      1.217u      0.000s      0.654w    635 calls
| | build_JK_matrices()             :     32.783u      0.017s     19.753w    635 calls
| JK: AO2USO                        :      0.000u      0.033s      0.003w   1798 calls
HF: Form F                          :      0.000u      0.000s      0.016w   1798 calls
HF: Form D                          :      0.000u      0.000s      0.010w   1798 calls
HF: DIIS                            :      4.667u      0.017s      3.077w   1680 calls
HF: Form C                          :      0.717u      0.000s      0.445w   1680 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Tue Nov 26 16:39:35 2024
Timers Off: Tue Nov 26 16:41:05 2024

Wall Time:       89.71 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.183u      0.000s      0.256w    118 calls
Libint2ERI::Libint2ERI              :      1.367u      0.000s      0.883w    989 calls
DFH: initialize()                   :      7.067u      0.583s      7.093w    118 calls
DFH: AO Construction                :      2.083u      0.017s      1.303w    118 calls
DFH: AO-Met. Contraction            :      0.533u      0.033s      0.275w    118 calls
HF: Form core H                     :      0.100u      0.267s      0.784w    118 calls
HF: Form S/X                        :      0.067u      0.000s      0.028w    118 calls
HF: Guess                           :      4.467u      1.250s     11.346w    118 calls
SAD Guess                           :      4.367u      1.250s     11.229w    118 calls
HF: Form G                          :     35.250u      0.050s     21.240w   1798 calls
JK: D                               :      0.100u      0.000s      0.013w   1798 calls
JK: USO2AO                          :      0.000u      0.000s      0.005w   1798 calls
JK: JK                              :     34.950u      0.050s     21.159w   1798 calls
DFH: compute_JK()                   :      1.250u      0.017s      0.802w   1163 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w   1163 calls
DFH: compute_J                      :      0.183u      0.000s      0.148w   1163 calls
DFH: compute_K                      :      1.067u      0.000s      0.589w   1163 calls
build_JK_matrices()                 :     31.567u      0.033s     19.141w    635 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.050u      0.017s      0.014w   1798 calls
HF: Form D                          :      0.067u      0.000s      0.009w   1798 calls
HF: DIIS                            :      4.200u      0.017s      2.885w   1680 calls
HF: Form C                          :      0.967u      0.033s      0.424w   1680 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.183u      0.000s      0.256w    118 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.122w    118 calls
DFH: initialize()                   :      7.067u      0.583s      7.093w    118 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.000s      0.143w    236 calls
| DFH: AO Construction              :      2.083u      0.017s      1.303w    118 calls
| DFH: AO-Met. Contraction          :      0.533u      0.033s      0.275w    118 calls
HF: Form core H                     :      0.100u      0.267s      0.784w    118 calls
HF: Form S/X                        :      0.067u      0.000s      0.028w    118 calls
HF: Guess                           :      4.467u      1.250s     11.346w    118 calls
| SAD Guess                         :      4.367u      1.250s     11.229w    118 calls
HF: Form G                          :     35.250u      0.050s     21.240w   1798 calls
| JK: D                             :      0.100u      0.000s      0.013w   1798 calls
| JK: USO2AO                        :      0.000u      0.000s      0.005w   1798 calls
| JK: JK                            :     34.950u      0.050s     21.159w   1798 calls
| | DFH: compute_JK()               :      1.250u      0.017s      0.802w   1163 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w   1163 calls
| | | DFH: compute_J                :      0.183u      0.000s      0.148w   1163 calls
| | | DFH: compute_K                :      1.067u      0.000s      0.589w   1163 calls
| | Libint2ERI::Libint2ERI          :      1.017u      0.000s      0.619w    635 calls
| | build_JK_matrices()             :     31.567u      0.033s     19.141w    635 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.050u      0.017s      0.014w   1798 calls
HF: Form D                          :      0.067u      0.000s      0.009w   1798 calls
HF: DIIS                            :      4.200u      0.017s      2.885w   1680 calls
HF: Form C                          :      0.967u      0.033s      0.424w   1680 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Tue Nov 26 16:44:34 2024
Timers Off: Tue Nov 26 16:45:50 2024

Wall Time:       75.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.383u      0.000s      0.243w    118 calls
Libint2ERI::Libint2ERI              :      1.417u      0.000s      0.850w    989 calls
DFH: initialize()                   :      6.400u      0.517s      6.989w    118 calls
DFH: AO Construction                :      1.850u      0.083s      1.254w    118 calls
DFH: AO-Met. Contraction            :      0.583u      0.000s      0.267w    118 calls
HF: Form core H                     :      0.233u      0.333s      0.787w    118 calls
HF: Form S/X                        :      0.000u      0.000s      0.028w    118 calls
HF: Guess                           :      4.033u      1.200s     10.242w    118 calls
